"","x"
"cons_carp","0.424 [ 2.12 * ]"
"cons_walk","12.596 [ 27.748 *** ]"
"cons_bike","9.971 [ 12.103 *** ]"
"cons_ptwalk","1.147 [ 5.694 *** ]"
"f_age2_carp","-0.7 [ -5.042 *** ]"
"f_age2_walk","0.56 [ 4.272 *** ]"
"f_age2_bike","1.276 [ 6.641 *** ]"
"f_age2_ptwalk","0.754 [ 5.808 *** ]"
"f_age4_carp","-0.906 [ -5.479 *** ]"
"f_age4_walk","-0.545 [ -3.844 *** ]"
"f_age4_bike","-0.581 [ -2.535 * ]"
"f_age4_ptwalk","-0.478 [ -3.571 *** ]"
"f_age5_carp","-1.04 [ -6.161 *** ]"
"f_age5_walk","-0.615 [ -4.498 *** ]"
"f_age5_bike","-0.383 [ -1.553  ]"
"f_age5_ptwalk","-0.673 [ -4.882 *** ]"
"f_age6_carp","-0.563 [ -3.425 *** ]"
"f_age6_walk","-0.805 [ -4.823 *** ]"
"f_age6_bike","-1.143 [ -3.156 ** ]"
"f_age6_ptwalk","-0.617 [ -3.782 *** ]"
"f_female_carp","0.329 [ 3.815 *** ]"
"f_female_walk","0.068 [ 0.797  ]"
"f_female_bike","-1.047 [ -6.536 *** ]"
"f_female_ptwalk","0.412 [ 4.745 *** ]"
"f_inc1_carp","-0.732 [ -2.687 ** ]"
"f_inc1_walk","-0.388 [ -1.471  ]"
"f_inc1_bike","-0.251 [ -0.635  ]"
"f_inc1_ptwalk","-0.978 [ -3.612 *** ]"
"f_inc2_carp","-1.131 [ -5.748 *** ]"
"f_inc2_walk","-0.467 [ -2.614 ** ]"
"f_inc2_bike","-0.897 [ -2.895 ** ]"
"f_inc2_ptwalk","-1.052 [ -5.871 *** ]"
"f_inc3_carp","-0.139 [ -0.872  ]"
"f_inc3_walk","0.006 [ 0.034  ]"
"f_inc3_bike","-0.216 [ -0.764  ]"
"f_inc3_ptwalk","-0.736 [ -4.447 *** ]"
"f_inc4_carp","0.068 [ 0.469  ]"
"f_inc4_walk","0.232 [ 1.574  ]"
"f_inc4_bike","0.283 [ 1.105  ]"
"f_inc4_ptwalk","-0.309 [ -2.099 * ]"
"f_inc6_carp","-0.213 [ -1.611  ]"
"f_inc6_walk","-0.338 [ -2.486 * ]"
"f_inc6_bike","-0.136 [ -0.56  ]"
"f_inc6_ptwalk","-0.444 [ -3.34 *** ]"
"f_cars_carp","-0.55 [ -7.989 *** ]"
"f_cars_walk","-0.778 [ -12.209 *** ]"
"f_cars_bike","-1.597 [ -14.644 *** ]"
"f_cars_ptwalk","-1.335 [ -19.59 *** ]"
"f_bikes_carp","-0.038 [ -1.07  ]"
"f_bikes_walk","-0.024 [ -0.667  ]"
"f_bikes_bike","0.101 [ 1.437  ]"
"f_bikes_ptwalk","-0.096 [ -2.535 * ]"
"f_work2_carp","0.13 [ 0.758  ]"
"f_work2_walk","-0.377 [ -2.185 * ]"
"f_work2_bike","-0.355 [ -1.101  ]"
"f_work2_ptwalk","0.159 [ 0.949  ]"
"f_work4_carp","3.383 [ 11.387 *** ]"
"f_work4_walk","2.307 [ 10.495 *** ]"
"f_work4_bike","0.973 [ 3.578 *** ]"
"f_work4_ptwalk","3 [ 13.832 *** ]"
"f_vgvi_walk","-0.215 [ -0.535  ]"
"f_vgvi_bike","-0.422 [ -0.552  ]"
"f_light_walk","-13.61 [ -1.964 * ]"
"f_light_bike","19.189 [ 1.68 . ]"
"f_shannon_walk","0.727 [ 4.811 *** ]"
"f_shannon_bike","1.16 [ 3.695 *** ]"
"f_crime_walk","1.444 [ 3.097 ** ]"
"f_crime_bike","5.861 [ 1.577  ]"
"f_streslnk_bike","-3.431 [ -7.801 *** ]"
"f_stresjct_walk","-0.55 [ -1.227  ]"
"f_timecarp","-0.002 [ -8.156 *** ]"
"f_distwalk","-1.496 [ -31.291 *** ]"
"f_distbike","-0.837 [ -9.952 *** ]"
"f_timept","0 [ -0.369  ]"
"lambda_car","0.798 [ 11.329 *** ]"
