"","x"
"cons_carp","0.125 [ 0.74  ]"
"cons_walk","2.33 [ 9.741 *** ]"
"cons_bike","4.045 [ 8.241 *** ]"
"cons_ptwalk","1.108 [ 5.741 *** ]"
"f_age2_carp","-0.494 [ -4.154 *** ]"
"f_age2_walk","0.331 [ 2.752 ** ]"
"f_age2_bike","1.277 [ 6.839 *** ]"
"f_age2_ptwalk","0.823 [ 6.655 *** ]"
"f_age4_carp","-0.7 [ -4.968 *** ]"
"f_age4_walk","-0.478 [ -3.681 *** ]"
"f_age4_bike","-0.453 [ -1.969 * ]"
"f_age4_ptwalk","-0.395 [ -3.009 ** ]"
"f_age5_carp","-0.817 [ -5.65 *** ]"
"f_age5_walk","-0.529 [ -4.2 *** ]"
"f_age5_bike","-0.279 [ -1.128  ]"
"f_age5_ptwalk","-0.607 [ -4.468 *** ]"
"f_age6_carp","-0.404 [ -3.021 ** ]"
"f_age6_walk","-0.781 [ -5.08 *** ]"
"f_age6_bike","-1.082 [ -2.993 ** ]"
"f_age6_ptwalk","-0.57 [ -3.561 *** ]"
"f_female_carp","0.311 [ 4.173 *** ]"
"f_female_walk","0.131 [ 1.705 . ]"
"f_female_bike","-1.087 [ -6.851 *** ]"
"f_female_ptwalk","0.422 [ 5.012 *** ]"
"f_inc1_carp","-0.566 [ -2.426 * ]"
"f_inc1_walk","-0.253 [ -1.076  ]"
"f_inc1_bike","-0.151 [ -0.39  ]"
"f_inc1_ptwalk","-0.848 [ -3.361 *** ]"
"f_inc2_carp","-0.874 [ -5.024 *** ]"
"f_inc2_walk","-0.328 [ -2.018 * ]"
"f_inc2_bike","-0.781 [ -2.534 * ]"
"f_inc2_ptwalk","-0.909 [ -5.25 *** ]"
"f_inc3_carp","-0.119 [ -0.904  ]"
"f_inc3_walk","-0.011 [ -0.078  ]"
"f_inc3_bike","-0.293 [ -1.028  ]"
"f_inc3_ptwalk","-0.756 [ -4.681 *** ]"
"f_inc4_carp","0.034 [ 0.281  ]"
"f_inc4_walk","0.172 [ 1.28  ]"
"f_inc4_bike","0.218 [ 0.843  ]"
"f_inc4_ptwalk","-0.345 [ -2.383 * ]"
"f_inc6_carp","-0.156 [ -1.423  ]"
"f_inc6_walk","-0.3 [ -2.422 * ]"
"f_inc6_bike","-0.127 [ -0.517  ]"
"f_inc6_ptwalk","-0.436 [ -3.354 *** ]"
"f_cars_carp","-0.458 [ -7.445 *** ]"
"f_cars_walk","-0.786 [ -13.593 *** ]"
"f_cars_bike","-1.596 [ -14.835 *** ]"
"f_cars_ptwalk","-1.364 [ -20.975 *** ]"
"f_bikes_carp","-0.034 [ -1.148  ]"
"f_bikes_walk","-0.022 [ -0.674  ]"
"f_bikes_bike","0.106 [ 1.51  ]"
"f_bikes_ptwalk","-0.103 [ -2.81 ** ]"
"f_work2_carp","0.11 [ 0.788  ]"
"f_work2_walk","-0.249 [ -1.603  ]"
"f_work2_bike","-0.316 [ -0.983  ]"
"f_work2_ptwalk","0.191 [ 1.175  ]"
"f_work4_carp","2.741 [ 8.953 *** ]"
"f_work4_walk","2.251 [ 10.523 *** ]"
"f_work4_bike","0.662 [ 2.461 * ]"
"f_work4_ptwalk","2.74 [ 12.731 *** ]"
"f_vgvi_walk","-1.768 [ -4.801 *** ]"
"f_vgvi_bike","-0.677 [ -0.9  ]"
"f_light_walk","-25.621 [ -4.018 *** ]"
"f_light_bike","17.593 [ 1.547  ]"
"f_shannon_walk","0.429 [ 3.23 ** ]"
"f_shannon_bike","0.928 [ 2.99 ** ]"
"f_crime_walk","1.379 [ 3.474 *** ]"
"f_crime_bike","4.727 [ 1.342  ]"
"f_streslnk_bike","-3.409 [ -7.831 *** ]"
"f_stresjct_walk","-0.949 [ -2.328 * ]"
"f_timecarp","-0.001 [ -6.342 *** ]"
"f_timewalk","0 [ -21.47 *** ]"
"f_timebike","-0.001 [ -8.304 *** ]"
"f_timept","0 [ 0.238  ]"
"lambda_car","0.625 [ 8.977 *** ]"
