"","x"
"1","-0.587 [ -2.737 ** ]"
"2","2.705 [ 10.466 *** ]"
"3","4.503 [ 8.668 *** ]"
"4","-0.124 [ -0.64  ]"
"5","-0.647 [ -4.406 *** ]"
"6","0.019 [ 0.152  ]"
"7","1.128 [ 5.968 *** ]"
"8","1.047 [ 8.143 *** ]"
"9","-1.036 [ -5.8 *** ]"
"10","-0.751 [ -6.076 *** ]"
"11","-0.701 [ -3.102 ** ]"
"12","-0.395 [ -2.97 ** ]"
"13","-1.172 [ -6.496 *** ]"
"14","-0.681 [ -5.661 *** ]"
"15","-0.475 [ -1.935 . ]"
"16","-0.577 [ -4.179 *** ]"
"17","-0.646 [ -3.458 *** ]"
"18","-0.911 [ -6.054 *** ]"
"19","-1.223 [ -3.38 *** ]"
"20","-0.6 [ -3.691 *** ]"
"21","0.492 [ 5.213 *** ]"
"22","0.394 [ 4.942 *** ]"
"23","-0.851 [ -5.384 *** ]"
"24","0.497 [ 5.747 *** ]"
"25","-0.854 [ -2.973 ** ]"
"26","-0.333 [ -1.304  ]"
"27","-0.411 [ -1.041  ]"
"28","-1.252 [ -4.578 *** ]"
"29","-1.014 [ -5.037 *** ]"
"30","-0.227 [ -1.387  ]"
"31","-0.647 [ -2.111 * ]"
"32","-0.918 [ -5.239 *** ]"
"33","0.038 [ 0.218  ]"
"34","0.155 [ 1.035  ]"
"35","-0.078 [ -0.276  ]"
"36","-0.619 [ -3.738 *** ]"
"37","0.17 [ 1.065  ]"
"38","0.271 [ 2.002 * ]"
"39","0.405 [ 1.58  ]"
"40","-0.263 [ -1.791 . ]"
"41","-0.142 [ -0.973  ]"
"42","-0.242 [ -1.909 . ]"
"43","-0.006 [ -0.023  ]"
"44","-0.361 [ -2.708 ** ]"
"45","-0.609 [ -8.684 *** ]"
"46","-0.859 [ -13.707 *** ]"
"47","-1.646 [ -14.937 *** ]"
"48","-1.406 [ -20.318 *** ]"
"49","-0.065 [ -1.693 . ]"
"50","-0.036 [ -1.066  ]"
"51","0.07 [ 1.001  ]"
"52","-0.105 [ -2.782 ** ]"
"53","0.336 [ 1.679 . ]"
"54","0.049 [ 0.318  ]"
"55","0.007 [ 0.022  ]"
"56","0.287 [ 1.735 . ]"
"57","4.389 [ 24.637 *** ]"
"58","3.866 [ 24.29 *** ]"
"59","2.112 [ 9.472 *** ]"
"60","3.648 [ 21.563 *** ]"
"61","-3.719 [ -10.691 *** ]"
"62","-2.241 [ -3.127 ** ]"
"63","-43.763 [ -6.781 *** ]"
"64","0.767 [ 0.066  ]"
"65","0.369 [ 2.713 ** ]"
"66","0.971 [ 2.849 ** ]"
"67","5.167 [ 3.179 ** ]"
"68","3.57 [ 0.996  ]"
"69","-3.297 [ -6.991 *** ]"
"70","-3.985 [ -1.977 * ]"
"71","0 [ -2.792 ** ]"
"72","-0.174 [ -14.521 *** ]"
"73","-0.18 [ -6.944 *** ]"
"74","0 [ 13.551 *** ]"
