"","x"
"cons_carp","0.424 [ 2.132 * ]"
"cons_walk","12.756 [ 27.319 *** ]"
"cons_bike","10.333 [ 12.148 *** ]"
"cons_ptwalk","1.154 [ 5.732 *** ]"
"s_age2_carp","-0.693 [ -5.016 *** ]"
"s_age2_walk","0.568 [ 4.338 *** ]"
"s_age2_bike","1.257 [ 6.546 *** ]"
"s_age2_ptwalk","0.759 [ 5.855 *** ]"
"s_age4_carp","-0.899 [ -5.466 *** ]"
"s_age4_walk","-0.537 [ -3.799 *** ]"
"s_age4_bike","-0.562 [ -2.453 * ]"
"s_age4_ptwalk","-0.475 [ -3.547 *** ]"
"s_age5_carp","-1.031 [ -6.147 *** ]"
"s_age5_walk","-0.612 [ -4.482 *** ]"
"s_age5_bike","-0.39 [ -1.581  ]"
"s_age5_ptwalk","-0.672 [ -4.878 *** ]"
"s_age6_carp","-0.556 [ -3.407 *** ]"
"s_age6_walk","-0.815 [ -4.876 *** ]"
"s_age6_bike","-1.089 [ -3.019 ** ]"
"s_age6_ptwalk","-0.617 [ -3.785 *** ]"
"s_female_carp","0.328 [ 3.823 *** ]"
"s_female_walk","0.063 [ 0.746  ]"
"s_female_bike","-1.042 [ -6.502 *** ]"
"s_female_ptwalk","0.41 [ 4.734 *** ]"
"s_inc1_carp","-0.717 [ -2.647 ** ]"
"s_inc1_walk","-0.374 [ -1.421  ]"
"s_inc1_bike","-0.352 [ -0.893  ]"
"s_inc1_ptwalk","-0.973 [ -3.604 *** ]"
"s_inc2_carp","-1.12 [ -5.716 *** ]"
"s_inc2_walk","-0.458 [ -2.564 * ]"
"s_inc2_bike","-0.911 [ -2.941 ** ]"
"s_inc2_ptwalk","-1.044 [ -5.833 *** ]"
"s_inc3_carp","-0.141 [ -0.887  ]"
"s_inc3_walk","0.008 [ 0.047  ]"
"s_inc3_bike","-0.203 [ -0.719  ]"
"s_inc3_ptwalk","-0.74 [ -4.474 *** ]"
"s_inc4_carp","0.065 [ 0.451  ]"
"s_inc4_walk","0.243 [ 1.655 . ]"
"s_inc4_bike","0.29 [ 1.131  ]"
"s_inc4_ptwalk","-0.313 [ -2.125 * ]"
"s_inc6_carp","-0.211 [ -1.609  ]"
"s_inc6_walk","-0.334 [ -2.452 * ]"
"s_inc6_bike","-0.119 [ -0.489  ]"
"s_inc6_ptwalk","-0.446 [ -3.361 *** ]"
"s_cars_carp","-0.548 [ -7.987 *** ]"
"s_cars_walk","-0.781 [ -12.271 *** ]"
"s_cars_bike","-1.595 [ -14.611 *** ]"
"s_cars_ptwalk","-1.339 [ -19.654 *** ]"
"s_bikes_carp","-0.037 [ -1.038  ]"
"s_bikes_walk","-0.026 [ -0.729  ]"
"s_bikes_bike","0.098 [ 1.394  ]"
"s_bikes_ptwalk","-0.097 [ -2.562 * ]"
"s_work2_carp","0.127 [ 0.746  ]"
"s_work2_walk","-0.382 [ -2.218 * ]"
"s_work2_bike","-0.303 [ -0.945  ]"
"s_work2_ptwalk","0.16 [ 0.955  ]"
"s_work4_carp","3.355 [ 11.313 *** ]"
"s_work4_walk","2.286 [ 10.413 *** ]"
"s_work4_bike","1.02 [ 3.772 *** ]"
"s_work4_ptwalk","2.986 [ 13.787 *** ]"
"s_vgvi_walk","-0.294 [ -0.748  ]"
"s_vgvi_bike","-0.778 [ -1.056  ]"
"s_light_walk","-14.838 [ -2.058 * ]"
"s_light_bike","17.511 [ 1.462  ]"
"s_shannon_walk","0.781 [ 4.542 *** ]"
"s_shannon_bike","1.289 [ 3.799 *** ]"
"s_crime_walk","6.492 [ 2.953 ** ]"
"s_crime_bike","4.917 [ 1.266  ]"
"s_streslnk_walk","-0.182 [ -0.77  ]"
"s_streslnk_bike","-3.503 [ -7.382 *** ]"
"s_stresjct_walk","-5.21 [ -2.357 * ]"
"s_timecarp","-0.002 [ -8.121 *** ]"
"s_distwalk","-1.49 [ -31.017 *** ]"
"s_distbike","-0.888 [ -10.382 *** ]"
"s_timept","0 [ -0.38  ]"
"lambda_car","0.791 [ 11.251 *** ]"
